what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354342170192
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1354342171666
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1354342172211
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1354342173342
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354342173542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354342176111
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354342181266
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1354342183236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354342185635
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354342321337
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1354342322190
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1354342329084
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354342348842
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354342589672
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1354342594828
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354342596688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354342608353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354342609386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354342610819
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354342611054
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354342611288
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354342611896
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354342612994
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354342616592
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354342869317
