what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353968925641
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353968929257
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1353968929419
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353968941488
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353968961385
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353968962940
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353968965279
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1353968966172
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1353968969347
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1353968974981
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1353968975757
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353968976708
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353968980649
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1353968981057
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1353968981796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353968983247
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353968985784
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1353968986546
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1353968989599
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1353968990724
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353968991847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353968998749
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1353969000218
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1353969001093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353969006119
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353974396816
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353974400938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353974432896
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353974437901
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353976827056
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353976829038
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353976915346
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353976918214
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353976922988
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1353976923919
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1353976926149
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353976933020
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353976942107
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353976943864
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353976948874
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353976952978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353976956153
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1353976956851
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1353976957327
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1353976957968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353976958846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353976963342
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1353976964853
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1353976966021
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1353976967108
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1353976968707
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1353976969476
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1353976970013
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1353976971597
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353976976757
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353978517400
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353978519547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353978773730
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353978775062
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353978780385
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1353978782939
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1353978783013
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1353978784420
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1353978785016
